,coluna_1,coluna_2
2020-01-01,-0.4160923582996922,1.8103644347460837
2020-01-02,-0.1379696602473578,2.5785204825192785
2020-01-03,0.5758273450544708,0.0608664880775506
2020-01-04,-0.0173671865648836,1.2995865328684455
2020-01-05,1.3842792448510657,-0.3817320973859929
2020-01-06,0.5497056238566345,-1.308789022968975
2020-01-07,-0.2822962331437976,-1.6889791765925102
2020-01-08,-0.9897300598660012,-0.0281207079364264
2020-01-09,0.2755824073792866,-0.1776585993494299
2020-01-10,0.6851316082235455,0.5025348904591399
